mes,rubro,valor_planeado
2023-08,Contrato papa,10574000.0
2023-08,Contrato mama,8500000.0
2023-08,contrato hijo,2500000.0
2023-08,CDT compra carro,10000000.0
2023-08,CUOTA CASA,3700000.0
2023-08,CUOTA NETFLIX,15000.0
2023-08,PAGO ADMINISTACION CASA,122000.0
2023-08,PAGO COOPERATIVA,100287.0
2023-08,PAGO MEDICINA PREPAGADA,341600.0
2023-08,PAGO SALUD Y PENSIONES,1400000.0
2023-08,PAGO TARJETA NUBE,1500000.0
2023-08,OFRENDAS FAMILIA,500000.0
2023-08,DIEZMO,150000.0
2023-08,JARDIN,50000.0
2023-08,MERCADO,1600000.0
2023-08,COMIDAS AFUERA,2500000.0
2023-08,TRANSPORTE BUS,150000.0
2023-08,TRANSPORTE TAXI,60000.0
2023-08,TRANSPORTE CARRO/MOTO/GASOLINA,150000.0
2023-08,CITAS MEDICAS,0.0
2023-08,DEPORTE ENTRENO + INSCRIPCIONES,4000000.0
2023-08,GATAS,200000.0
2023-08,OTROS,50000.0
2023-08,PAGO GOOGLE,0.0
2023-08,PAGO LUZ,130000.0
2023-08,PAGO AGUA,70000.0
2023-08,PAGO GAS,20000.0
2023-08,PAGO CLARO MOVIL,60000.0
2023-08,PAGO INTERNET,85000.0
2023-08,VIAJES,30000.0
2023-08,COSAS DE CASA,30000.0
2023-08,ROPA,50000.0
2023-08,REGALOS,100000.0
2023-08,LIBROS,50000.0
2023-08,PELUQUERIA,100000.0
2023-08,ENTRETENIMIENTO/VIAJE,500000.0
2023-08,PRESTAMO,0.0
2023-09,Contrato papa,10574000.0
2023-09,Contrato mama,8500000.0
2023-09,contrato hijo,2500000.0
2023-09,CDT compra carro,10000000.0
2023-09,CUOTA  CASA,3700000.0
2023-09,CUOTA NETFLIX,15000.0
2023-09,PAGO ADMINISTACION CASA,122000.0
2023-09,PAGO COOPERATIVA,100287.0
2023-09,PAGO MEDICINA PREPAGADA,341600.0
2023-09,PAGO SALUD Y PENSIONES,1400000.0
2023-09,PAGO TARJETA NUBE,1500000.0
2023-09,AYUDAS A FAMILIARES,500000.0
2023-09,DIEZMO,150000.0
2023-09,JARDIN,50000.0
2023-09,MERCADO,1600000.0
2023-09,COMIDAS AFUERA,5000000.0
2023-09,TRANSPORTE BUS,150000.0
2023-09,TRANSPORTE TAXI,60000.0
2023-09,TRANSPORTE CARRO/MOTO/GASOLINA,150000.0
2023-09,CITAS MEDICAS,0.0
2023-09,DEPORTE ENTRENO + INSCRIPCIONES,4000000.0
2023-09,GATAS,200000.0
2023-09,OTROS,50000.0
2023-09,PAGO GOOGLE,0.0
2023-09,PAGO LUZ,130000.0
2023-09,PAGO AGUA,70000.0
2023-09,PAGO GAS,20000.0
2023-09,PAGO CLARO MOVIL,60000.0
2023-09,PAGO INTERNET,85000.0
2023-09,VIAJES,30000.0
2023-09,COSAS DE CASA,30000.0
2023-09,ROPA,50000.0
2023-09,REGALOS,100000.0
2023-09,LIBROS,50000.0
2023-09,PELUQUERIA,100000.0
2023-09,ENTRENAMIENTO/VIAJE,500000.0
2023-09,TECNOLOGIA,0.0
